Time_s,Tank_Pressure_bar,Comb_Pressure_Fwd_bar,Comb_Pressure_Aft_bar,Thrust_N
3.1214,25.98312196,26.92595501,19.83598912,359.4593988
3.1216,25.94071171,26.91212572,19.83034365,359.0164431
3.1218,25.96146449,26.89289015,19.85718868,358.6988623
3.122,25.96116301,26.92231372,19.84071309,358.6320152
3.1222,26.02402211,26.92200108,19.84589762,358.5024887
3.1224,25.93950676,26.93790763,19.84837459,358.4356453
3.1226,25.92867901,26.95111063,19.85897371,358.2434445
3.1228,25.9020619,26.99945407,19.85062096,358.0512481
3.123,25.84386658,26.95589086,19.84497574,358.1724458
3.1232,25.82251414,26.96098395,19.83391603,358.105609
3.1234,25.84852932,26.97959212,19.84451481,358.3521562
3.1236,25.87980685,26.9819818,19.82804085,358.2226428
3.1238,25.91108364,26.97085652,19.77908066,358.1558074
3.124,25.99498802,26.94081087,19.78155813,358.0889734
3.1242,25.90521901,26.95941838,19.77049976,358.0221409
3.1244,25.91544356,26.9699168,19.73507755,358.0806556
3.1246,25.90461727,26.95879215,19.77545471,358.0764967
3.1248,25.99378038,26.95037058,19.78876033,357.946995
3.125,25.97242837,26.92843524,19.7804094,357.8174962
3.1252,25.91950205,26.93623075,19.81807761,357.8760101
3.1254,25.97182504,26.87916062,19.79077777,357.746515
3.1256,26.01888446,26.87614572,19.7905479,357.6170227
3.1258,26.02384452,26.9244815,19.79302493,357.9888756
3.126,25.91303562,26.86741347,19.81445,357.4207139
3.1262,25.99692918,26.88872221,19.81421984,357.6672276
3.1264,25.89664734,26.88300474,19.80857607,357.5377419
3.1266,25.97527709,26.9124204,19.8300002,357.8469132
3.1268,25.98549931,26.86616516,19.82435636,357.3414433
3.127,25.90100683,26.9199026,19.83224623,357.4626193
3.1272,25.75863591,26.92769723,19.8401359,357.9597684
3.1274,25.84252537,26.96792063,19.79118571,357.5169765
3.1276,25.97376846,26.9459883,19.80178228,357.6381459
3.1278,25.89980335,26.93756823,19.78531273,357.4460099
3.128,25.82583995,26.95617154,19.73907142,357.3791978
3.1282,25.88341696,26.92883552,19.76590737,357.2497281
3.1284,25.93573114,26.91771366,19.7413193,357.1829196
3.1286,25.93016842,26.93091208,19.75732874,356.9281398
3.1288,25.99300356,26.92789702,19.74897992,356.7986795
3.129,25.89799813,26.92488203,19.76228249,356.8571906
3.1292,25.92400347,26.8597181,19.78370385,356.9157002
3.1294,25.92896347,26.86481025,19.7537043,356.9115537
3.1296,26.00757904,26.86449814,19.77512525,357.0327151
3.1298,25.95992735,26.8695901,19.78301433,356.9032607
3.13,25.87018878,26.83685387,19.79360946,356.9617667
3.1302,25.92249759,26.86356181,19.79067328,356.7696641
3.1304,25.91693554,26.84433611,19.79856188,356.5149149
3.1306,25.96924257,26.86023568,19.8118626,356.5107727
3.1308,25.93211557,26.90855743,19.80892629,356.6319298
3.131,25.77925419,26.89473555,19.7978718,356.6277861
3.1312,25.8683854,26.89712488,19.80575993,356.37305
3.1314,25.82600027,26.89681236,19.7919997,356.2436145
3.1316,25.84148172,26.89649985,19.78635775,356.3647686
3.1318,25.8885255,26.88538044,19.78883381,356.6112117
3.132,25.83036043,26.89587481,19.75613273,356.7323585
3.1322,25.83532062,26.90636893,19.74507959,356.7282135
3.1324,25.87710254,26.90875792,19.71237978,356.7240684
3.1326,25.93992429,26.91655003,19.73109156,356.9078525
3.1328,25.92384245,26.94055135,19.72003908,356.7157783
3.133,25.85516015,26.87810302,19.73604455,356.5863501
3.1332,25.97584017,26.84807416,19.73310948,356.7074882
3.1334,25.96501841,26.84235923,19.74099729,356.4527826
3.1336,25.97523648,26.83664443,19.75700195,356.3860011
3.1338,25.90129692,26.82012412,19.75406672,356.2565823
3.134,25.89573615,26.8144097,19.77277646,356.0645285
3.1342,25.94277265,26.81950078,19.78336901,356.3109396
3.1344,25.95299047,26.82999437,19.79937241,356.1815259
3.1346,25.97898683,26.82428001,19.77479265,356.1773867
3.1348,25.88401336,26.86988955,19.75291894,356.1732475
3.135,25.86267467,26.84796753,19.7824494,356.1064739
3.1352,25.82029884,26.83144838,19.7930412,356.164969
3.1354,25.84103615,26.86084928,19.77657881,355.9102984
3.1356,25.83547655,26.85783598,19.77634897,356.0314263
3.1358,25.89828699,26.8791326,19.75177115,355.7141315
3.136,25.78754355,26.8869234,19.74883629,355.7726281
3.1362,25.83983487,26.88390988,19.68909088,355.7058633
3.1364,25.86057072,26.87279342,19.69697775,355.7017291
3.1366,25.86027016,26.88328497,19.69133841,355.9481089
3.1368,25.88626419,26.90187908,19.6965199,355.7560886
3.137,25.85441017,26.84484737,19.70981668,356.2529699
3.1372,25.95928562,26.83103098,19.71770292,356.1862029
3.1374,25.84855042,26.8604284,19.70394835,356.4951907
3.1376,25.89031939,26.79799752,19.72806476,356.4284223
3.1378,25.7953634,26.81929229,19.74406555,356.3616553
3.138,26.00540569,26.78927231,19.73301612,356.2322664
3.1382,25.93148453,26.80786595,19.7354917,356.2907483
